Ob,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Income,poverty_rate,percent_completed_hs
129,AK,Holy Cross city,4.5,0,91.6,0,0,36094,13.1,86.1
130,AK,Homer city,89.3,0.4,4.1,1,2.1,55849,12.6,95.9
131,AK,Hoonah city,32.6,0.4,52.5,0.5,3,57708,16.4,87.7
132,AK,Hooper Bay city,1.9,0,94.6,0,0,35938,40.9,75
133,AK,Hope CDP,88,0,4.2,0.5,3.1,-,0,100
134,AK,Houston city,82.2,0.4,6.7,0.6,3.3,50438,14.8,90.2
135,AK,Hughes city,1.3,2.6,96.1,0,0,32500,21,92.6
136,AK,Huslia city,6.5,0,92.4,0,0,42000,24.5,93.1
137,AK,Hydaburg city,11.4,0.5,77.1,0,3.2,31250,17.3,90.1
138,AK,Hyder CDP,90.8,0,1.1,0,2.3,-,46.2,53.8
139,AK,Igiugig CDP,28,0,40,0,12,51250,6.1,90.3
140,AK,Iliamna CDP,33,0,54.1,0,3.7,68750,15.8,88.7
141,AK,Ivanof Bay CDP,0,0,100,0,0,-,-,-
142,AK,Juneau city and borough,69.7,0.9,11.8,6.1,5.1,85746,6.6,94.8
143,AK,Kachemak city,91.7,0,4,1.3,2.1,70625,8.9,92.6
144,AK,Kake city,17.1,0.2,69.1,0,1.8,40417,21.8,85.7
145,AK,Kaktovik city,10,0,88.7,0,0,48125,4.1,76.5
146,AK,Kalifornsky CDP,87.2,0.4,5,0.9,3.5,72335,5.1,96.3
147,AK,Kaltag city,5.8,0,91.6,0,0,28750,13.5,86.4
148,AK,Karluk CDP,5.4,0,94.6,0,0,20938,31.8,85
149,AK,Kasaan city,53.1,0,34.7,2,0,49286,2.8,90.2
150,AK,Kasigluk CDP,3.3,0,94.7,0,0.2,43750,35.8,68.1
151,AK,Kasilof CDP,87.8,0.2,4.2,0.5,2.4,65893,5.7,100
152,AK,Kenai city,79.9,0.7,8.9,1.5,4.5,62236,10.9,89.7
153,AK,Kenny Lake CDP,83.4,0.3,8.2,0.3,3.4,(X),35.9,100
154,AK,Ketchikan city,60.7,0.8,16.7,10.8,4.4,53111,16.6,89.9
155,AK,Kiana city,6.6,0.3,90.3,0,0.3,41250,36.3,76.1
156,AK,King Cove city,16.2,1,38.4,36.5,11.2,63667,17.5,87.3
157,AK,King Salmon CDP,61.2,0,27.8,1.3,2.7,81563,11.9,93.2
158,AK,Kipnuk CDP,2,0,97.7,0,0,34583,35.1,76.4
159,AK,Kivalina city,2.1,0,96.3,0,0,52917,29.9,64.6
160,AK,Klawock city,38.4,0.3,48.3,0.5,2.8,38125,17.5,86.2
161,AK,Klukwan CDP,8.4,0,80,1.1,2.1,50000,10.6,86.5
162,AK,Knik-Fairview CDP,84.3,1,5.3,1.4,4.1,82858,8.2,91.2
163,AK,Knik River CDP,88.4,1.3,3.8,1.2,3.1,68250,7.1,93
164,AK,Kobuk city,8.6,0,90.1,0.7,2.6,43333,49.1,72.1
165,AK,Kodiak city,40.3,0.5,9.9,37.4,9.4,62934,11.8,87.1
166,AK,Kodiak Station CDP,85.9,2.6,0.8,1.3,9.8,61923,6.8,97.2
167,AK,Kokhanok CDP,9.4,0,80,0,1.8,32083,24.1,84.5
168,AK,Koliganek CDP,3.3,0,95.7,0,0,40000,14.7,77.3
169,AK,Kongiganak CDP,2.1,0,95.7,0,1.8,37679,26.2,79.4
170,AK,Kotlik city,1.9,0,97.2,0.3,0.2,39583,31.6,74.2
171,AK,Kotzebue city,16,0.9,73.6,1.2,1.3,87708,16.3,82.9
172,AK,Koyuk city,3.6,0,88.9,0.3,0,33182,48.9,82.4
173,AK,Koyukuk city,1,0,96.9,0,0,17083,46.3,82.4
174,AK,Kupreanof city,88.9,0,0,7.4,0,52083,5,100
175,AK,Kwethluk city,2.2,0,94.2,0.1,0,44063,28.3,75.9
176,AK,Kwigillingok CDP,3.4,0,95,0,0,42188,21.5,78.8
177,AK,Lake Louise CDP,97.8,0,2.2,0,4.3,-,46.7,73.3
178,AK,Lake Minchumina CDP,61.5,0,15.4,0,0,82813,14.3,88.2
179,AK,Lakes CDP,85,0.9,5.2,0.9,4.2,83574,7.3,95.1
180,AK,Larsen Bay city,24.1,0,71.3,0,0,47917,13.1,78.7
181,AK,Lazy Mountain CDP,89.9,0.3,3.4,0.8,3.2,82109,8.2,97.1
182,AK,Levelock CDP,10.1,0,84.1,0,0,37813,20.2,88.6
183,AK,Lime Village CDP,3.4,0,93.1,0,0,(X),85.7,28.6
184,AK,Livengood CDP,69.2,0,23.1,0,0,-,0,100
185,AK,Loring CDP,25,0,25,0,0,-,-,-
186,AK,Lowell Point CDP,96.3,0,3.8,0,0,-,35.5,100
187,AK,Lower Kalskag city,2.5,0.4,92.2,0,0,30536,35.2,78.5
188,AK,Lutak CDP,91.8,0,2,0,0,-,0,100
189,AK,Manley Hot Springs CDP,70.8,0,13.5,0,6.7,54375,33.3,86.7
190,AK,Manokotak city,3.6,0,95.7,0,0.2,36667,17.4,87.5
191,AK,Marshall city,2.7,0,94.7,0.2,0.2,36875,20.3,86
192,AK,McCarthy CDP,96.4,0,0,0,0,-,0,74.4
193,AK,McGrath city,41.6,0,36.7,0.6,2.6,64792,16.8,93.7
194,AK,McKinley Park CDP,94.1,0,0,0.5,3.2,78750,30.2,97.1
195,AK,Meadow Lakes CDP,85.2,0.7,5.8,1,3.4,65850,12.9,90.4
196,AK,Mekoryuk city,3.1,0,93.2,0,0,24750,18.4,80.2
197,AK,Mendeltna CDP,87.2,0,0,0,5.1,-,0,100
198,AK,Mentasta Lake CDP,23.2,0,75.9,0,0,21250,57.3,70.1
199,AK,Mertarvik CDP,(X),(X),(X),(X),(X),-,-,-
200,AK,Metlakatla CDP,10,0.4,82.7,0.1,1.9,49924,12,91
201,AK,Minto CDP,4.3,0,90.5,0,0.5,32250,19.1,77.6
202,AK,Moose Creek CDP,78,5.1,5.1,2.9,4.8,51369,2.1,85.6
203,AK,Moose Pass CDP,94.1,1.4,1.4,0.5,2.3,102750,14.9,94.1
204,AK,Mosquito Lake CDP,84.5,0,4.2,0.6,3.6,31736,9.5,89.6
205,AK,Mountain Village city,4.2,0,91.9,0.7,0.4,39205,29,77.8
206,AK,Mud Bay CDP,93.9,0,3.8,0.9,2.4,119423,0,95.4
207,AK,Nabesna CDP,100,0,0,0,0,-,-,-
208,AK,Naknek CDP,44.5,0,30.3,0.4,2.6,79750,3.9,93.6
209,AK,Nanwalek CDP,10.6,0,80.3,0,2,33542,60.5,98
210,AK,Napakiak city,2.8,0,97.2,0,0,24167,53.1,72.6
211,AK,Napaskiak city,3,0,96.5,0,0,30625,28.3,76
